Transaction date,Transaction,Name,Memo,Amount
3/3/2017,DEBIT,IKEA NORTH YORK NORTH YORK ON,Rewards earned: 0.64 ~ Category: Furniture,-64.33
3/3/2017,DEBIT,IKEA NORTH YORK NORTH YORK ON,Rewards earned: 0.77 ~ Category: Furniture,-76.94
3/5/2017,DEBIT,KEEPCALLING COM 866-5358095 GA U,Rewards earned: 0.05 ~ Category: Other,-5
3/5/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.84 ~ Category: Groceries,-92.12
3/5/2017,DEBIT,PETROCAN THORNHILL ON,Rewards earned: 0.61 ~ Category: Gas,-30.47
3/7/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.04 ~ Category: Drug Store,-4.37
3/7/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.70 ~ Category: Gas,-35
3/7/2017,DEBIT,WINNERS 202 TORONTO ON,Rewards earned: 0.34 ~ Category: Other,-33.89
3/7/2017,DEBIT,HOMESENSE 107 TORONTO ON,Rewards earned: 0.34 ~ Category: Other,-33.88
3/7/2017,DEBIT,KOSHER CITY PLUS NORTH YORK ON,Rewards earned: 0.17 ~ Category: Groceries,-8.6
3/7/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.58 ~ Category: Other,-58.38
3/9/2017,CREDIT,PREAUTHORIZED PAYMENT,,3633.06
3/9/2017,DEBIT,METRO #52 NORTH YORK ON,Rewards earned: 0.31 ~ Category: Groceries,-15.69
3/9/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 0.85 ~ Category: Groceries,-42.42
3/10/2017,DEBIT,THE KOSHER GOURMET TORONTO ON,Rewards earned: 0.30 ~ Category: Restaurant,-30.11
3/10/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.55 ~ Category: Groceries,-27.66
3/10/2017,DEBIT,407ETR-INTERNET WOODBRIDGE ON,Rewards earned: 0.10 ~ Category: Parking,-9.82
3/10/2017,DEBIT,TORONTO PARKING AUTHOR TORONTO O,Rewards earned: 0.01 ~ Category: Parking,-0.5
3/10/2017,DEBIT,Udemy 1760483369 CA USA,Rewards earned: 0.30 ~ Category: Other,-30
3/13/2017,DEBIT,PETROCAN THORNHILL ON,Rewards earned: 0.80 ~ Category: Gas,-40.03
3/13/2017,DEBIT,CDN TIRE STORE #00019 NORTH YORK,Rewards earned: 1.13 ~ Category: Home Improvement,-112.99
3/13/2017,DEBIT,HAT BOX TORONTO NORTH YORK ON,Rewards earned: 4.12 ~ Category: Other,-412.45
3/13/2017,DEBIT,HOMESENSE 107 TORONTO ON,Rewards earned: 0.58 ~ Category: Other,-57.6
3/16/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.10 ~ Category: Groceries,-4.98
3/17/2017,DEBIT,PAYPAL *BOBOVMARKET 4029357733 O,Rewards earned: 1.02 ~ Category: Other,-102.27
3/17/2017,DEBIT,SOBEYS 659 QPS THORNHILL ON,Rewards earned: 0.18 ~ Category: Groceries,-9.03
3/17/2017,DEBIT,SOBEYS 659 QPS THORNHILL ON,Rewards earned: 0.45 ~ Category: Groceries,-22.61
3/17/2017,DEBIT,SOBEYS 659 QPS THORNHILL ON,Rewards earned: 0.42 ~ Category: Groceries,-20.85
3/17/2017,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 1.06 ~ Category: Groceries,-53.04
3/19/2017,CREDIT,WINNERS 202 TORONTO ON,Rewards earned: -0.28 ~ Category: Other,28.24
3/19/2017,DEBIT,KITCHEN STUFF PLUS #9 TORONTO ON,Rewards earned: 0.02 ~ Category: Furniture,-2.25
3/19/2017,CREDIT,CARTER'S OSHKOSH #4 TORONTO ON,Rewards earned: -0.71 ~ Category: Other,70.56
3/19/2017,CREDIT,WAL-MART # 3105 TORONTO ON,Rewards earned: -0.06 ~ Category: Other,5.62
3/19/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.11 ~ Category: Drug Store,-11.26
3/19/2017,DEBIT,PETROCAN TORONTO ON,Rewards earned: 1.00 ~ Category: Gas,-50.03
3/20/2017,DEBIT,URTH FINE FOODS INC NORTH YORK O,Rewards earned: 0.04 ~ Category: Restaurant,-4.04
3/26/2017,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
3/26/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 0.57 ~ Category: Groceries,-28.43
3/26/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.66 ~ Category: Gas,-33.23
3/27/2017,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.27 ~ Category: Restaurant,-27.1
3/27/2017,DEBIT,ORTHOCANADA 8196713399 QC,Rewards earned: 0.51 ~ Category: Other,-50.96
3/27/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.80 ~ Category: Gas,-40
3/28/2017,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.31 ~ Category: Groceries,-15.32
3/28/2017,DEBIT,MASTERMIND- YONGE STRE TORONTO O,Rewards earned: 0.09 ~ Category: Other,-9.02
3/29/2017,DEBIT,UDEMY.COM 8888385432 CA USA,Rewards earned: 0.40 ~ Category: Other,-40
3/29/2017,DEBIT,123InkCartridges.ca LACHINE QC,Rewards earned: 0.67 ~ Category: Other,-66.74
3/29/2017,CREDIT,PAYPAL *BOBOVMARKET 4029357733 O,Rewards earned: -0.20 ~ Category: Other,20
3/31/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.55 ~ Category: Groceries,-27.43
3/31/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.90 ~ Category: Gas,-45
4/2/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.53 ~ Category: Drug Store,-53.09
4/3/2017,DEBIT,PETSMART INC. 3030 TORONTO ON,Rewards earned: 0.09 ~ Category: Other,-9.02
4/3/2017,DEBIT,THE CHILDREN'S PLACE#3 TORONTO O,Rewards earned: 0.57 ~ Category: Other,-56.91
4/3/2017,DEBIT,WINNERSHOMESENSE 20301 VAUGHAN O,Rewards earned: 0.05 ~ Category: Other,-4.51
4/3/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 1.31 ~ Category: Other,-130.75
4/4/2017,DEBIT,SHOE COMPANY # 270 NORTH YORK ON,Rewards earned: 0.90 ~ Category: Other,-90.38
4/4/2017,DEBIT,SUN LIFE CHOICES A&A 800-669-792,Rewards earned: 5.05 ~ Category: Bill Payment,-252.32
4/4/2017,DEBIT,WINNERS 202 TORONTO ON,Rewards earned: 1.56 ~ Category: Other,-155.89
4/4/2017,DEBIT,LITTLE SHOE PALACE NORTH YORK ON,Rewards earned: 0.66 ~ Category: Other,-66.15
4/5/2017,DEBIT,ZICHRON BINYOMIN CHARI 416-48493,Rewards earned: 0.95 ~ Category: Other,-95
4/5/2017,DEBIT,SHOPPERS DRUG MART #08 TORONTO O,Rewards earned: 0.53 ~ Category: Drug Store,-53.42
4/5/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 2.84 ~ Category: Groceries,-141.99
4/5/2017,DEBIT,LITTLE SHOE PALACE NORTH YORK ON,Rewards earned: 0.51 ~ Category: Other,-51.45
4/6/2017,DEBIT,PETROCAN TORONTO ON,Rewards earned: 1.44 ~ Category: Gas,-71.92
4/6/2017,DEBIT,MICROSOFT *STORE MSBILL.INFO ON,Rewards earned: 0.05 ~ Category: Other,-4.62
4/6/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.68 ~ Category: Other,-67.88
4/6/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 4.11 ~ Category: Groceries,-205.29
4/7/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.24 ~ Category: Groceries,-11.89
4/7/2017,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 1.07 ~ Category: Groceries,-53.44
4/7/2017,CREDIT,PREAUTHORIZED PAYMENT,,2306.82
4/8/2017,DEBIT,PERSONAL INSURANCE COM MISSISSAU,Rewards earned: 64.12 ~ Category: Bill Payment,-3206
4/9/2017,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.23 ~ Category: Restaurant,-22.6
4/10/2017,DEBIT,MASTERMIND- YONGE STRE TORONTO O,Rewards earned: 0.25 ~ Category: Other,-24.76
4/10/2017,DEBIT,SHOPPERS DRUG MART0803 NORTH YOR,Rewards earned: 0.26 ~ Category: Drug Store,-26.02
4/13/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.42 ~ Category: Groceries,-70.93
4/14/2017,DEBIT,KEEPCALLING COM 866-5358095 GA U,Rewards earned: 0.05 ~ Category: Other,-5
4/19/2017,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.18 ~ Category: Groceries,-9.24
4/19/2017,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 0.26 ~ Category: Groceries,-12.84
4/20/2017,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.09 ~ Category: Groceries,-4.68
4/20/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.10 ~ Category: Groceries,-54.99
4/20/2017,DEBIT,DR. SAMUEL AXELROD & A NORTH YOR,Rewards earned: 0.33 ~ Category: Other,-33
4/20/2017,DEBIT,INDIGO 286 TORONTO ON,Rewards earned: 0.11 ~ Category: Other,-11.29
4/20/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 3.55 ~ Category: Other,-355.46
4/20/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 4.37 ~ Category: Groceries,-218.57
4/21/2017,DEBIT,SHOE COMPANY # 270 NORTH YORK ON,Rewards earned: 0.86 ~ Category: Other,-86.03
4/21/2017,DEBIT,METRO #52 NORTH YORK ON,Rewards earned: 0.54 ~ Category: Groceries,-26.76
4/23/2017,DEBIT,KITCHEN STUFF PLUS TORONTO ON,Rewards earned: 0.17 ~ Category: Furniture,-17.46
4/23/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 0.60 ~ Category: Groceries,-30.15
4/23/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.40 ~ Category: Other,-40.41
4/23/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.80 ~ Category: Gas,-40
4/25/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.99 ~ Category: Groceries,-49.46
4/25/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.41 ~ Category: Groceries,-20.51
4/25/2017,DEBIT,INDIGO - 685 SHEPPARD NORTH YORK,Rewards earned: 0.05 ~ Category: Parking,-5
4/26/2017,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
4/26/2017,DEBIT,FRIEDMANS FRESH FISH NORTH YORK ,Rewards earned: 0.03 ~ Category: Other,-2.52
4/26/2017,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.08 ~ Category: Restaurant,-7.9
4/26/2017,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.27 ~ Category: Restaurant,-27.1
4/27/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.59 ~ Category: Gas,-79.37
4/27/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.30 ~ Category: Groceries,-64.94
4/30/2017,CREDIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: -0.53 ~ Category: Other,105.7
4/30/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.32 ~ Category: Other,-63.22
4/30/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 3.08 ~ Category: Groceries,-153.93
4/30/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.15 ~ Category: Drug Store,-30.97
5/2/2017,DEBIT,THE KOSHER GOURMET TORONTO ON,Rewards earned: 0.07 ~ Category: Restaurant,-14.67
5/2/2017,DEBIT,URTH FINE FOODS INC NORTH YORK O,Rewards earned: 0.04 ~ Category: Restaurant,-7.35
5/2/2017,DEBIT,URTH FINE FOODS INC NORTH YORK O,Rewards earned: 0.09 ~ Category: Restaurant,-17.23
5/2/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.09 ~ Category: Groceries,-4.3
5/2/2017,DEBIT,SUN LIFE CHOICES A&A 800-669-792,Rewards earned: 5.05 ~ Category: Bill Payment,-252.32
5/2/2017,DEBIT,ABE'S SERVICE CENTRE NORTH YORK ,Rewards earned: 0.51 ~ Category: Other,-101.7
5/4/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.07 ~ Category: Groceries,-3.49
5/5/2017,DEBIT,THE TAX REVIEW TORONTO ON,Rewards earned: 2.26 ~ Category: Other,-452
5/7/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.12 ~ Category: Other,-24.93
5/7/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.20 ~ Category: Gas,-60
5/7/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.68 ~ Category: Groceries,-83.87
5/9/2017,CREDIT,PREAUTHORIZED PAYMENT,,2978.05
5/9/2017,DEBIT,FRIEDMANS FRESH FISH NORTH YORK ,Rewards earned: 0.04 ~ Category: Other,-7.82
5/9/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.08 ~ Category: Groceries,-3.99
5/9/2017,DEBIT,AROMA BATHUST & WILSON NORTH YOR,Rewards earned: 0.03 ~ Category: Restaurant,-6.1
5/9/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.04 ~ Category: Drug Store,-8.11
5/12/2017,DEBIT,DR ARASH GHASSABEI DEN TORONTO O,Rewards earned: 0.18 ~ Category: Other,-35.2
5/14/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.29 ~ Category: Groceries,-64.6
5/15/2017,DEBIT,THE ISRAELI SOURCE THORNHILL ON,Rewards earned: 0.05 ~ Category: Other,-9.03
5/15/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.40 ~ Category: Gas,-70.01
5/15/2017,DEBIT,AQUARIUM SERVICES THORNHILL ON,Rewards earned: 0.06 ~ Category: Other,-12.42
5/15/2017,DEBIT,AIR-SERV A 225455 TORONTO ON,Rewards earned: 0.03 ~ Category: Gas,-1.5
5/16/2017,DEBIT,Udemy 1760483369 CA USA,Rewards earned: 0.10 ~ Category: Other,-19
5/16/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.38 ~ Category: Groceries,-18.84
