Transaction date,Transaction,Name,Memo,Amount
8/24/2016,DEBIT,INDIGO - 685 SHEPPARD NORTH YORK,Rewards earned: 0.03 ~ Category: Parking,-2.5
8/23/2016,CREDIT,MNR BALSAM LAKE PP POS KIRKFIELD,Rewards earned: -0.15 ~ Category: Other,14.5
8/23/2016,DEBIT,MNR BALSAM LAKE PP POS KIRKFIELD,Rewards earned: 0.15 ~ Category: Other,-14.5
8/18/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.58 ~ Category: Groceries,-79.1
8/17/2016,DEBIT,SIMCHAS HACHAIM 718-258-7400 NY ,Rewards earned: 0.04 ~ Category: Other,-3.91
8/16/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 1.53 ~ Category: Other,-152.74
Transaction date,Transaction,Name,Memo,Amount
10/10/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.44 ~ Category: Groceries,-21.91
10/10/2016,DEBIT,PETROCAN THORNHILL ON,Rewards earned: 0.60 ~ Category: Gas,-30
10/9/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 1.01 ~ Category: Groceries,-50.4
10/9/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.09 ~ Category: Drug Store,-9.1
10/9/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.35 ~ Category: Drug Store,-34.96
10/9/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.83 ~ Category: Other,-82.64
10/9/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.46 ~ Category: Other,-45.96
10/7/2016,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 0.86 ~ Category: Groceries,-42.95
10/7/2016,CREDIT,PREAUTHORIZED PAYMENT,,1397.03
10/6/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.68 ~ Category: Groceries,-83.91
10/5/2016,CREDIT,PAYLESS SHOESOURCE #59 TORONTO O,Rewards earned: -0.50 ~ Category: Other,50.38
10/5/2016,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 1.48 ~ Category: Groceries,-74.03
9/30/2016,DEBIT,CARTER'S OSHKOSH #4 TORONTO ON,Rewards earned: 0.18 ~ Category: Other,-17.85
9/29/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.78 ~ Category: Gas,-39.19
9/29/2016,DEBIT,CANADIAN ASSOCIATION O OTTAWA ON,Rewards earned: 3.15 ~ Category: Other,-315.37
9/28/2016,DEBIT,THE CHILDREN'S PLACE#3 TORONTO O,Rewards earned: 0.38 ~ Category: Other,-37.72
9/27/2016,DEBIT,MIDRASH SHMUEL TEL9175893004 NY ,Rewards earned: 0.72 ~ Category: Other,-72.48
9/27/2016,DEBIT,OLD NAVY CANADA 5452 THORNHILL O,Rewards earned: 0.11 ~ Category: Other,-10.98
9/27/2016,DEBIT,THE CHILDREN'S PLACE#3 THORNHILL,Rewards earned: 0.24 ~ Category: Other,-24.11
9/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
9/26/2016,DEBIT,STP*THE SHMUZ 8666138672 NY USA,Rewards earned: 0.07 ~ Category: Other,-6.69
9/26/2016,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 0.48 ~ Category: Groceries,-23.98
9/26/2016,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 1.65 ~ Category: Groceries,-82.69
9/25/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 1.15 ~ Category: Other,-115.03
9/25/2016,DEBIT,SHELL NORTH YORK ON,Rewards earned: 0.60 ~ Category: Gas,-30.14
9/22/2016,DEBIT,PAYLESS SHOESOURCE #59 TORONTO O,Rewards earned: 0.77 ~ Category: Other,-76.62
9/21/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.91 ~ Category: Groceries,-145.33
9/20/2016,DEBIT,AROMA BATHUST & WILSON NORTH YOR,Rewards earned: 0.13 ~ Category: Restaurant,-13.05
9/20/2016,DEBIT,ABE'S SERVICE CENTRE NORTH YORK ,Rewards earned: 2.36 ~ Category: Other,-235.61
9/19/2016,DEBIT,THE INSTITUTE OF TORAH 905-76411,Rewards earned: 0.36 ~ Category: Other,-36
9/19/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.50 ~ Category: Gas,-25
9/16/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.48 ~ Category: Groceries,-24.24
9/15/2016,DEBIT,LIFELABS #6R THORNHILL ON,Rewards earned: 1.25 ~ Category: Other,-125
9/13/2016,DEBIT,MTO RUS- SO ECHANNEL DOWNSVIEW O,Rewards earned: 1.20 ~ Category: Other,-120
9/13/2016,DEBIT,YESHIVA GEDOLAH ZICHRO 416-78971,Rewards earned: 0.36 ~ Category: Other,-36
9/13/2016,DEBIT,ABE'S SERVICE CENTRE NORTH YORK ,Rewards earned: 1.24 ~ Category: Other,-124.3
9/12/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.22 ~ Category: Groceries,-10.94
9/12/2016,DEBIT,ZICHRON BINYOMIN CHARI 416-48493,Rewards earned: 0.35 ~ Category: Other,-35
9/12/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.73 ~ Category: Groceries,-36.46
9/11/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.05 ~ Category: Drug Store,-4.73
9/11/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.80 ~ Category: Gas,-40
Transaction date,Transaction,Name,Memo,Amount
11/10/2016,DEBIT,PURCHASE INTEREST,,-58.52
11/9/2016,CREDIT,PREAUTHORIZED PAYMENT,,2368.62
11/7/2016,DEBIT,SIMCHAS HACHAIM 718-258-7400 NY ,Rewards earned: 0.20 ~ Category: Other,-20.34
11/6/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.11 ~ Category: Groceries,-5.35
11/4/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.45 ~ Category: Drug Store,-45.19
11/2/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 1.00 ~ Category: Other,-100.46
11/2/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.87 ~ Category: Gas,-43.68
11/2/2016,DEBIT,WM ASHLEY WAREHOUSE SA WOODBRIDG,Rewards earned: 0.29 ~ Category: Other,-29.36
11/2/2016,DEBIT,COSTCO WHOLESALE W547 VAUGHAN ON,Rewards earned: 1.53 ~ Category: Other,-153.1
11/1/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.37 ~ Category: Groceries,-68.26
11/1/2016,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.27 ~ Category: Restaurant,-27.1
10/31/2016,DEBIT,WINNERSHOMESENSE 20301 VAUGHAN O,Rewards earned: 0.17 ~ Category: Other,-16.95
10/30/2016,DEBIT,WINNERS 439 TORONTO ON,Rewards earned: 0.38 ~ Category: Other,-38.4
10/30/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.20 ~ Category: Groceries,-109.97
10/30/2016,DEBIT,SIMCHAS HACHAIM 718-258-7400 NY ,Rewards earned: 0.91 ~ Category: Other,-91.14
10/30/2016,DEBIT,CDN TIRE STORE #00182 TORONTO ON,Rewards earned: 0.08 ~ Category: Home Improvement,-7.9
10/29/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.25 ~ Category: Drug Store,-24.85
10/27/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.41 ~ Category: Groceries,-20.74
10/27/2016,DEBIT,WINNERS 202 TORONTO ON,Rewards earned: 0.11 ~ Category: Other,-11.29
10/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
10/25/2016,DEBIT,HUSKY MARLEE HUSKY #27 NORTH YOR,Rewards earned: 0.91 ~ Category: Gas,-45.64
10/23/2016,DEBIT,KOSHER CITY PLUS NORTH YORK ON,Rewards earned: 0.13 ~ Category: Groceries,-6.49
10/23/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.14 ~ Category: Groceries,-6.98
10/23/2016,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 0.95 ~ Category: Groceries,-47.49
10/20/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.17 ~ Category: Groceries,-8.27
10/20/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.88 ~ Category: Groceries,-44.03
10/19/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.33 ~ Category: Groceries,-66.71
10/19/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.74 ~ Category: Groceries,-36.76
10/19/2016,DEBIT,SHOPPERSDRUGMART0888 NORTH YORK ,Rewards earned: 0.06 ~ Category: Drug Store,-6.17
10/19/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.37 ~ Category: Groceries,-118.59
10/18/2016,DEBIT,PETROCAN THORNHILL ON,Rewards earned: 0.70 ~ Category: Gas,-35
10/16/2016,DEBIT,3M LAWRENCE PHARMACY NORTH YORK ,Rewards earned: 0.65 ~ Category: Drug Store,-65.27
10/14/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.04 ~ Category: Groceries,-1.9
10/14/2016,DEBIT,NSF FEE,,-25
10/13/2016,DEBIT,INSTITUTE ADVANCED JUD 416-78918,Rewards earned: 0.18 ~ Category: Other,-18
10/13/2016,DEBIT,SLICE N BITES INC NORTH YORK ON,Rewards earned: 0.46 ~ Category: Restaurant,-46.33
10/13/2016,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 0.50 ~ Category: Groceries,-24.95
10/9/2016,DEBIT,FINANCE CHARGE ADJUSTMENT,,-3.05
10/9/2016,DEBIT,DISHONOURED PAYMENT,,-1397.03
Transaction date,Transaction,Name,Memo,Amount
12/12/2016,DEBIT,PURCHASE INTEREST,,-92.29
12/9/2016,DEBIT,PETROCAN TORONTO ON,Rewards earned: 0.67 ~ Category: Gas,-33.58
12/7/2016,DEBIT,MARSHALLS 747 TORONTO ON,Rewards earned: 0.09 ~ Category: Other,-9.44
12/7/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.37 ~ Category: Other,-37.29
12/7/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 4.18 ~ Category: Other,-418.26
12/7/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 2.50 ~ Category: Other,-250.12
12/7/2016,DEBIT,CDN TIRE STORE #00019 NORTH YORK,Rewards earned: 0.56 ~ Category: Home Improvement,-56.49
12/6/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.66 ~ Category: Other,-65.96
12/6/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.13 ~ Category: Drug Store,-12.66
12/6/2016,DEBIT,Udemy San Francisco CA USA,Rewards earned: 0.45 ~ Category: Other,-45
12/6/2016,CREDIT,WINNERS 202 TORONTO ON,Rewards earned: -0.38 ~ Category: Other,38.4
12/6/2016,DEBIT,WINNERS 202 TORONTO ON,Rewards earned: 0.28 ~ Category: Other,-28.24
12/4/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.24 ~ Category: Groceries,-11.94
12/2/2016,DEBIT,KEEPCALLING COM 866-5358095 GA U,Rewards earned: 0.05 ~ Category: Other,-5
12/2/2016,DEBIT,SUN LIFE CHOICES A&A 800-669-792,Rewards earned: 15.14 ~ Category: Bill Payment,-756.96
12/2/2016,DEBIT,SHOPPERSDRUGMART0922 NORTH YORK ,Rewards earned: 0.12 ~ Category: Drug Store,-12.42
12/1/2016,DEBIT,KEEPCALLING COM 866-5358095 GA U,Rewards earned: 0.05 ~ Category: Other,-5
11/30/2016,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.27 ~ Category: Restaurant,-27.1
11/28/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.07 ~ Category: Groceries,-3.62
11/28/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.49 ~ Category: Gas,-24.28
11/27/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 3.18 ~ Category: Groceries,-158.76
11/27/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.16 ~ Category: Other,-15.57
11/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
11/24/2016,CREDIT,PAYMENT - THANK YOU,,2904.51
11/20/2016,CREDIT,HOMESENSE 107 TORONTO ON,Rewards earned: -0.21 ~ Category: Other,21.47
11/20/2016,CREDIT,HOMESENSE 107 TORONTO ON,Rewards earned: -0.19 ~ Category: Other,19.2
11/16/2016,DEBIT,DISHONOURED PAYMENT FEE,,-25
11/15/2016,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.26 ~ Category: Groceries,-12.89
11/15/2016,DEBIT,THE TAX REVIEW TORONTO ON,Rewards earned: 5.10 ~ Category: Other,-509.63
11/15/2016,DEBIT,SHOPPERS DRUG MART #08 TORONTO O,Rewards earned: 0.05 ~ Category: Drug Store,-4.58
11/15/2016,DEBIT,IKEA NORTH YORK NORTH YORK ON,Rewards earned: 0.84 ~ Category: Furniture,-83.6
11/15/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.09 ~ Category: Other,-9.36
11/15/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.04 ~ Category: Other,-4
11/15/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.45 ~ Category: Other,-45.26
11/15/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.93 ~ Category: Other,-92.62
11/13/2016,DEBIT,WINNERSHOMESENSE 20301 VAUGHAN O,Rewards earned: 0.19 ~ Category: Other,-19.2
11/13/2016,DEBIT,WINNERS 209 TORONTO ON,Rewards earned: 0.21 ~ Category: Other,-21.47
11/13/2016,DEBIT,HOMESENSE 107 TORONTO ON,Rewards earned: 0.23 ~ Category: Other,-22.59
11/13/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 3.36 ~ Category: Groceries,-167.93
11/13/2016,DEBIT,WAL-MART #5831 THORNHILL ON,Rewards earned: 0.17 ~ Category: Groceries,-8.27
11/12/2016,DEBIT,D-LITE'S INC. THORNHILL ON,Rewards earned: 0.37 ~ Category: Restaurant,-37.29
11/12/2016,DEBIT,SOBEYS 659 QPS THORNHILL ON,Rewards earned: 0.73 ~ Category: Groceries,-36.31
11/12/2016,DEBIT,WINNERSHOMESENSE 20301 VAUGHAN O,Rewards earned: 0.34 ~ Category: Other,-33.89
11/11/2016,DEBIT,HOMESENSE 107 TORONTO ON,Rewards earned: 1.13 ~ Category: Other,-112.97
11/10/2016,DEBIT,SHELL NORTH YORK ON,Rewards earned: 0.85 ~ Category: Gas,-42.32
11/9/2016,DEBIT,FINANCE CHARGE ADJUSTMENT,,-5.16
11/9/2016,DEBIT,DISHONOURED PAYMENT,,-2368.62
Transaction date,Transaction,Name,Memo,Amount
5/9/2016,CREDIT,PREAUTHORIZED PAYMENT,,23.89
5/9/2016,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.99 ~ Category: Restaurant,-24.85
5/8/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.60 ~ Category: Groceries,-40.08
5/8/2016,DEBIT,SHELL STONEY CREEK ON,Rewards earned: 0.14 ~ Category: Gas,-3.41
5/8/2016,DEBIT,SHELL STONEY CREEK ON,Rewards earned: 0.83 ~ Category: Gas,-20.68
5/6/2016,DEBIT,Enterprise MONTREAL QC,Rewards earned: 1.62 ~ Category: Other,-162.48
5/6/2016,DEBIT,ULTRAMAR #36909 MONT-TREMBLAN QC,Rewards earned: 0.57 ~ Category: Gas,-14.24
5/4/2016,DEBIT,SHELL MONT-TREMBLAN QC,Rewards earned: 1.86 ~ Category: Gas,-46.62
5/4/2016,DEBIT,AUBERGE LA PORTE ROUGE MONT-TREM,Rewards earned: 1.54 ~ Category: Hotel,-154.06
5/4/2016,DEBIT,MARCHE LES DEUX SOEURS MONT-TREM,Rewards earned: 0.13 ~ Category: Groceries,-3.14
5/4/2016,DEBIT,KIMLY RESTAURANT COTE-ST-LUC QC,Rewards earned: 0.46 ~ Category: Restaurant,-11.49
